name,cuisine,tags,calories,protein_g,carbs_g,fat_g,prep_time_min,cost_ghs,ingredients,instructions,image_url
Yam and Kontomire Stew,Ghanaian,"ghanaian,vegetarian,healthy",460,10,60,16,35,29.0,"[{""name"":""Yam"",""qty"":250,""unit"":""g"",""cost_ghs"":15.0},{""name"":""Kontomire"",""qty"":150,""unit"":""g"",""cost_ghs"":9.0},{""name"":""Palm oil"",""qty"":15,""unit"":""ml"",""cost_ghs"":4.0}]","1. Boil yam. 2. Cook kontomire stew.","/images/yam-kontomire.jpg"
Fufu and Palm Nut Soup,Ghanaian,"ghanaian,traditional,main",850,35,90,32,60,51.0,"[{""name"":""Cassava"",""qty"":200,""unit"":""g"",""cost_ghs"":13.0},{""name"":""Plantain"",""qty"":100,""unit"":""g"",""cost_ghs"":7.0},{""name"":""Palm nut"",""qty"":150,""unit"":""g"",""cost_ghs"":18.0},{""name"":""Goat meat"",""qty"":120,""unit"":""g"",""cost_ghs"":13.0}]","1. Pound fufu. 2. Cook palm nut soup.","/images/fufu-palmnut.jpg"
Grilled Tilapia and Shito,Ghanaian,"ghanaian,quick,high-protein",480,38,5,28,20,40.0,"[{""name"":""Tilapia"",""qty"":200,""unit"":""g"",""cost_ghs"":33.0},{""name"":""Shito"",""qty"":50,""unit"":""g"",""cost_ghs"":7.0}]","1. Grill tilapia. 2. Serve with shito.","/images/tilapia-shito.jpg"
Kenkey and Fried Fish,Ghanaian,"ghanaian,traditional,main",620,28,65,22,40,37.0,"[{""name"":""Kenkey"",""qty"":2,""unit"":""pc"",""cost_ghs"":13.0},{""name"":""Mackerel"",""qty"":150,""unit"":""g"",""cost_ghs"":24.0}]","1. Heat kenkey. 2. Fry fish.","/images/kenkey-friedfish.jpg"
Plain Rice and Chicken Stew,Ghanaian,"ghanaian,cheap,main",650,32,70,22,35,31.0,"[{""name"":""Rice"",""qty"":150,""unit"":""g"",""cost_ghs"":9.0},{""name"":""Chicken"",""qty"":120,""unit"":""g"",""cost_ghs"":22.0}]","1. Boil rice. 2. Cook chicken stew.","/images/rice-chickenstew.jpg"
Boiled Plantain and Garden Egg,Ghanaian,"ghanaian,vegetarian,healthy",380,6,55,14,25,22.0,"[{""name"":""Plantain"",""qty"":200,""unit"":""g"",""cost_ghs"":11.0},{""name"":""Garden eggs"",""qty"":150,""unit"":""g"",""cost_ghs"":11.0}]","1. Boil plantain. 2. Cook garden egg stew.","/images/plantain-gardenegg.jpg"
Gari and Beans Stew,Ghanaian,"ghanaian,cheap,high-protein",560,20,70,18,30,26.0,"[{""name"":""Gari"",""qty"":100,""unit"":""g"",""cost_ghs"":7.0},{""name"":""Beans"",""qty"":150,""unit"":""g"",""cost_ghs"":11.0},{""name"":""Palm oil"",""qty"":15,""unit"":""ml"",""cost_ghs"":4.0}]","1. Cook beans stew. 2. Serve with gari.","/images/gari-beans.jpg"
Egg Fried Noodles,Nigerian,"west-african,quick,cheap",480,14,65,14,12,20.0,"[{""name"":""Noodles"",""qty"":100,""unit"":""g"",""cost_ghs"":9.0},{""name"":""Egg"",""qty"":1,""unit"":""pc"",""cost_ghs"":4.0},{""name"":""Veg"",""qty"":50,""unit"":""g"",""cost_ghs"":7.0}]","1. Stir fry noodles with egg and veg.","/images/egg-noodles.jpg"
Chicken Shawarma Wrap,International,"quick,high-protein",520,32,45,20,15,37.0,"[{""name"":""Pita"",""qty"":1,""unit"":""pc"",""cost_ghs"":7.0},{""name"":""Chicken"",""qty"":120,""unit"":""g"",""cost_ghs"":24.0},{""name"":""Veg"",""qty"":50,""unit"":""g"",""cost_ghs"":7.0}]","1. Grill chicken. 2. Wrap with veg.","/images/shawarma.jpg"
Vegetable Curry and Rice,International,"vegetarian,healthy,main",450,12,65,14,30,29.0,"[{""name"":""Rice"",""qty"":150,""unit"":""g"",""cost_ghs"":9.0},{""name"":""Mixed veg"",""qty"":200,""unit"":""g"",""cost_ghs"":15.0},{""name"":""Curry paste"",""qty"":20,""unit"":""g"",""cost_ghs"":4.0}]","1. Cook vegetable curry. 2. Serve with rice.","/images/veg-curry.jpg"
Beef Stir Fry and Noodles,International,"quick,high-protein",680,38,60,24,20,40.0,"[{""name"":""Noodles"",""qty"":150,""unit"":""g"",""cost_ghs"":11.0},{""name"":""Beef"",""qty"":120,""unit"":""g"",""cost_ghs"":24.0},{""name"":""Veg"",""qty"":100,""unit"":""g"",""cost_ghs"":4.0}]","1. Stir fry beef and veg. 2. Serve with noodles.","/images/beef-noodles.jpg"
Tuna Pasta Salad,International,"quick,high-protein,healthy",420,28,40,16,15,31.0,"[{""name"":""Pasta"",""qty"":120,""unit"":""g"",""cost_ghs"":9.0},{""name"":""Tuna"",""qty"":100,""unit"":""g"",""cost_ghs"":15.0},{""name"":""Veg"",""qty"":100,""unit"":""g"",""cost_ghs"":7.0}]","1. Boil pasta. 2. Mix with tuna and veg.","/images/tuna-pasta.jpg"
Grilled Salmon and Couscous,International,"high-protein,healthy",580,42,45,22,25,57.0,"[{""name"":""Salmon"",""qty"":150,""unit"":""g"",""cost_ghs"":48.0},{""name"":""Couscous"",""qty"":100,""unit"":""g"",""cost_ghs"":9.0}]","1. Grill salmon. 2. Cook couscous.","/images/salmon-couscous.jpg"
Chicken Caesar Salad,International,"salad,high-protein,quick",380,30,15,20,10,35.0,"[{""name"":""Chicken"",""qty"":120,""unit"":""g"",""cost_ghs"":22.0},{""name"":""Lettuce"",""qty"":100,""unit"":""g"",""cost_ghs"":9.0},{""name"":""Caesar dressing"",""qty"":20,""unit"":""g"",""cost_ghs"":4.0}]","1. Grill chicken. 2. Toss salad.","/images/caesar-salad.jpg"
Vegetable Soup and Bread,International,"vegetarian,cheap,quick",350,8,45,12,20,20.0,"[{""name"":""Mixed veg"",""qty"":200,""unit"":""g"",""cost_ghs"":13.0},{""name"":""Bread"",""qty"":2,""unit"":""slices"",""cost_ghs"":7.0}]","1. Cook vegetable soup. 2. Serve with bread.","/images/veg-soup.jpg"
Beef Burger and Fries,International,"comfort,main",850,35,60,40,25,48.0,"[{""name"":""Beef patty"",""qty"":120,""unit"":""g"",""cost_ghs"":26.0},{""name"":""Bun"",""qty"":1,""unit"":""pc"",""cost_ghs"":7.0},{""name"":""Potato"",""qty"":150,""unit"":""g"",""cost_ghs"":9.0}]","1. Grill beef patty. 2. Fry potato.","/images/beef-burger.jpg"
Grilled Chicken Salad,International,"salad,high-protein,healthy",340,35,10,18,12,33.0,"[{""name"":""Chicken"",""qty"":120,""unit"":""g"",""cost_ghs"":22.0},{""name"":""Salad veg"",""qty"":150,""unit"":""g"",""cost_ghs"":11.0}]","1. Grill chicken. 2. Toss salad.","/images/chicken-salad.jpg"
Vegetable Omelette,International,"breakfast,quick,cheap",280,15,8,20,10,15.0,"[{""name"":""Eggs"",""qty"":2,""unit"":""pc"",""cost_ghs"":9.0},{""name"":""Veg"",""qty"":50,""unit"":""g"",""cost_ghs"":7.0}]","1. Make omelette with vegetables.","/images/veg-omelette.jpg"
Tuo Zaafi and Ayoyo Soup,Ghanaian,"traditional,low-fat,high-fiber",550,25,85,12,45,117.0,"[{""name"":""Corn flour"",""qty"":200,""unit"":""g"",""cost_ghs"":22.0},{""name"":""Cassava flour"",""qty"":50,""unit"":""g"",""cost_ghs"":11.0},{""name"":""Ayoyo leaves"",""qty"":100,""unit"":""g"",""cost_ghs"":33.0},{""name"":""Beef"",""qty"":150,""unit"":""g"",""cost_ghs"":77.0}]","Prepare corn and cassava dough into a smooth swallow. Boil ayoyo leaves with dawadawa and spices until slimy then serve with beef stew.","/images/tuo_zaafi.jpg"
Banku and Okro Soup,Ghanaian,"traditional,high-protein,filling",620,35,70,22,60,153.0,"[{""name"":""Corn dough"",""qty"":150,""unit"":""g"",""cost_ghs"":22.0},{""name"":""Cassava dough"",""qty"":100,""unit"":""g"",""cost_ghs"":22.0},{""name"":""Okro"",""qty"":200,""unit"":""g"",""cost_ghs"":44.0},{""name"":""Crab/Fish"",""qty"":100,""unit"":""g"",""cost_ghs"":99.0}]","Cook fermented dough into banku. Sauté onions and tomatoes then add chopped okro and seafood to simmer into a thick soup.","/images/banku_okro.jpg"
Waakye with Shito and Egg,Ghanaian,"high-protein,cheap,traditional",680,28,110,14,90,90.0,"[{""name"":""Rice"",""qty"":150,""unit"":""g"",""cost_ghs"":33.0},{""name"":""Beans"",""qty"":100,""unit"":""g"",""cost_ghs"":22.0},{""name"":""Waakye leaves"",""qty"":2,""unit"":""pcs"",""cost_ghs"":11.0},{""name"":""Egg"",""qty"":1,""unit"":""pcs"",""cost_ghs"":11.0},{""name"":""Shito"",""qty"":30,""unit"":""g"",""cost_ghs"":33.0}]","Boil beans with sorghum leaves until soft then add rice to cook together. Serve with boiled egg and dark pepper sauce.","/images/waakye_egg.jpg"
Oto (Mashed Yam with Egg),Ghanaian,"vegetarian,traditional,quick",520,18,80,16,30,99.0,"[{""name"":""Puna Yam"",""qty"":300,""unit"":""g"",""cost_ghs"":55.0},{""name"":""Palm Oil"",""qty"":20,""unit"":""ml"",""cost_ghs"":22.0},{""name"":""Egg"",""qty"":2,""unit"":""pcs"",""cost_ghs"":22.0}]","Boil yam until soft and mash with a little palm oil and onions. Serve with hard-boiled eggs and avocado slices.","/images/oto_yam.jpg"
Etor (Mashed Plantain),Ghanaian,"vegetarian,traditional,healthy",580,12,95,18,30,90.0,"[{""name"":""Ripe Plantain"",""qty"":300,""unit"":""g"",""cost_ghs"":55.0},{""name"":""Roasted Peanuts"",""qty"":50,""unit"":""g"",""cost_ghs"":33.0},{""name"":""Palm Oil"",""qty"":15,""unit"":""ml"",""cost_ghs"":22.0}]","Boil slightly ripe plantains and mash in an asanka. Stir in roasted peanut paste and a touch of palm oil.","/images/etor_plantain.jpg"
Light Soup with Goat Meat,Ghanaian,"high-protein,low-carb,traditional",450,40,15,25,75,171.0,"[{""name"":""Goat meat"",""qty"":250,""unit"":""g"",""cost_ghs"":117.0},{""name"":""Garden Eggs"",""qty"":100,""unit"":""g"",""cost_ghs"":33.0},{""name"":""Tomatoes"",""qty"":100,""unit"":""g"",""cost_ghs"":33.0}]","Steam goat meat with aromatics. Blend boiled tomatoes and garden eggs then strain into the pot to simmer into a thin soup.","/images/goat_light_soup.jpg"
Brown Rice Jollof with Grilled Chicken,West African,"high-fiber,high-protein,healthy",550,32,75,12,50,144.0,"[{""name"":""Brown Rice"",""qty"":150,""unit"":""g"",""cost_ghs"":55.0},{""name"":""Chicken Breast"",""qty"":150,""unit"":""g"",""cost_ghs"":88.0},{""name"":""Tomato Paste"",""qty"":30,""unit"":""g"",""cost_ghs"":33.0}]","Cook brown rice in a spicy tomato and onion base. Serve with oven-grilled chicken breast and steamed vegetables.","/images/brown_rice_jollof.jpg"
Hausa Koko and Koose,Ghanaian,"vegetarian,cheap,quick",400,14,70,8,20,77.0,"[{""name"":""Millet"",""qty"":100,""unit"":""g"",""cost_ghs"":22.0},{""name"":""Cowpea flour"",""qty"":100,""unit"":""g"",""cost_ghs"":33.0},{""name"":""Spices"",""qty"":10,""unit"":""g"",""cost_ghs"":22.0}]","Boil fermented millet dough into a spicy porridge. Deep fry seasoned cowpea batter into fluffy bean cakes.","/images/koko_koose.jpg"
Kokonte and Groundnut Soup,Ghanaian,"traditional,filling,low-fat",710,24,115,18,60,108.0,"[{""name"":""Cassava flour"",""qty"":200,""unit"":""g"",""cost_ghs"":33.0},{""name"":""Peanut Paste"",""qty"":50,""unit"":""g"",""cost_ghs"":44.0},{""name"":""Chicken"",""qty"":100,""unit"":""g"",""cost_ghs"":55.0}]","Stir dried cassava flour in boiling water until brown and stretchy. Mix peanut paste with water and simmer with chicken and spices.","/images/kokonte_soup.jpg"
Agushie Stew with Boiled Plantain,Ghanaian,"vegetarian,high-protein,traditional",610,22,85,24,45,99.0,"[{""name"":""Melon seeds"",""qty"":100,""unit"":""g"",""cost_ghs"":44.0},{""name"":""Plantain"",""qty"":300,""unit"":""g"",""cost_ghs"":55.0},{""name"":""Spinach"",""qty"":100,""unit"":""g"",""cost_ghs"":22.0}]","Steam grounded melon seeds into a tomato sauce until chunky. Serve with boiled green or ripe plantains.","/images/agushie_stew.jpg"
Fante Fante and Boiled Yam,Ghanaian,"traditional,seafood,healthy",540,30,80,10,40,162.0,"[{""name"":""Fresh Fish"",""qty"":200,""unit"":""g"",""cost_ghs"":90.0},{""name"":""Yam"",""qty"":250,""unit"":""g"",""cost_ghs"":55.0},{""name"":""Palm oil"",""qty"":10,""unit"":""ml"",""cost_ghs"":33.0}]","Simmer fresh fish in a light palm oil and tomato sauce without much stirring. Serve with sliced boiled yam.","/images/fante_fante.jpg"
